# Pattern: Custom
0,2
0,4
0,21
0,23
0,28
0,32
1,1
1,4
1,6
1,13
1,28
1,29
1,35
2,6
2,8
2,23
2,26
2,31
2,35
3,1
3,2
3,5
3,6
3,7
3,9
3,21
3,22
3,33
4,6
4,21
4,33
4,34
5,0
5,3
5,21
5,24
5,28
6,1
6,2
6,5
6,15
6,18
6,21
6,22
6,25
6,28
6,36
7,10
7,15
7,24
7,25
7,31
7,33
8,0
8,2
8,11
8,19
8,30
8,35
9,6
9,7
9,8
9,11
9,15
9,19
9,23
9,31
9,36
10,2
10,6
10,7
10,9
10,15
10,22
11,1
11,6
11,10
11,12
11,23
11,28
11,29
11,33
12,2
12,3
12,7
12,9
12,10
12,15
12,21
12,22
12,32
13,1
13,3
13,8
13,9
13,13
13,14
13,20
13,31
14,0
14,1
14,8
14,14
14,16
14,20
14,21
14,23
14,24
14,29
15,4
15,5
15,6
15,12
15,14
15,17
15,27
16,1
16,4
16,15
16,17
16,20
16,30
17,4
17,5
17,10
17,15
17,19
17,26
17,34
18,6
18,8
18,12
18,13
18,14
18,19
18,22
18,23
18,27
18,28
19,0
19,7
19,8
19,9
19,10
19,11
19,15
19,19
19,21
19,27
19,30
20,4
20,14
20,21
20,24
20,25
20,29
20,34
21,0
21,1
21,4
21,7
21,10
21,12
21,15
21,32
21,33
22,3
22,7
22,8
22,21
22,27
22,29
22,31
22,32
23,3
23,6
23,13
23,22
23,25
24,8
24,9
24,17
24,24
24,25
24,26
24,30
24,35
25,8
25,11
25,20
25,21
25,31
26,4
26,6
26,12
26,20
26,21
26,23
26,30
26,35
27,1
27,12
27,17
27,26
27,28
27,32
28,6
28,7
28,11
28,16
28,21
28,27
28,29
28,33
29,3
29,4
29,8
29,9
29,12
29,13
29,17
29,19
29,20
29,27
29,33
29,34
29,36
30,5
30,6
30,36
31,5
31,9
31,20
31,22
31,28
31,30
31,34
31,35
31,36
32,7
32,12
32,15
32,16
32,22
32,24
32,34
33,0
33,10
33,11
33,13
33,16
33,19
33,23
33,24
33,31
33,34
33,35
34,2
34,5
34,7
34,12
34,16
34,19
34,27
34,34
34,35
35,3
35,6
35,8
35,20
35,21
35,30
35,31
36,3
36,7
36,10
36,19
36,23
36,25
36,32
37,0
37,2
37,10
37,14
37,16
37,32
37,34
38,4
38,13
38,16
38,17
38,20
38,25
39,3
39,6
39,10
39,18
39,20
39,26
40,0
40,4
40,20
40,27
40,29
40,30
40,35
40,36
41,0
41,3
41,7
41,8
41,15
41,21
41,22
41,23
41,30
41,32
41,33
42,3
42,6
42,8
42,19
42,26
42,35
43,3
43,8
43,9
43,17
43,22
43,27
43,30
43,32
43,33
43,34
43,35
44,0
44,1
44,6
44,10
44,28
44,36
45,1
45,9
45,10
45,14
45,19
45,25
45,34
46,14
46,16
46,17
46,25
46,30
46,31
46,32
46,33
46,34
47,6
47,10
47,19
47,20
47,25
47,34
48,4
48,11
48,14
48,16
48,19
48,23
48,27
48,29
48,32
48,35
49,0
49,10
49,11
49,14
49,15
49,17
49,19
49,20
49,26
49,30
49,31
50,8
50,10
50,16
50,20
50,22
50,28
50,30
51,1
51,5
51,9
51,16
51,17
51,24
51,29
52,10
52,14
52,17
52,19
52,29
52,30
53,0
53,5
53,6
53,10
53,14
53,15
53,28
54,2
54,5
54,6
54,11
54,16
54,22
54,28
54,31
54,35
55,1
55,6
55,9
55,30
55,35
55,36
56,1
56,9
56,10
56,12
56,16
56,23
56,27
56,32
57,0
57,4
57,6
57,13
57,16
57,25
57,26
57,30
58,2
58,5
58,6
58,10
58,17
58,20
58,25
58,29
58,31
58,34
58,36
59,0
59,4
59,11
59,14
59,16
59,17
59,18
59,20
59,26
59,32
59,33
59,36
60,17
60,24
60,28
60,30
60,36
61,2
61,3
61,4
61,7
61,21
61,24
61,31
61,32
62,2
62,5
62,10
62,16
62,24
62,30
62,33
62,34
62,36
63,8
63,11
63,14
63,20
64,8
64,9
64,14
64,25
64,36
65,6
65,8
65,13
65,16
65,29
66,0
66,5
66,8
66,17
66,18
66,22
66,31
66,33
66,34
67,2
67,6
67,13
67,14
67,21
68,15
68,18
68,19
69,1
69,3
69,9
69,12
69,14
69,15
69,18
69,25
69,30
69,31
69,32
69,35
70,2
70,3
70,18
70,20
70,36
71,4
71,6
71,7
71,8
71,13
71,18
71,27
71,30
71,33
72,1
72,7
72,9
72,10
72,15
72,31
72,32
73,5
73,8
73,18
73,19
73,21
73,27
73,29
73,30
73,31
73,33
73,34
74,7
74,10
74,12
74,20
74,21
74,33
74,35
75,7
75,15
75,20
75,28
